"学校","专业组","专业代码","专业名称","专业类","梯队/桶","原风险色","原风险标签"
"南开大学","南开大学04","11","工科试验班(未来产业精英)(智能科学与技术(具身与行为智能特色班)、智能医学工程(脑机接口特色班)、新能源科学与工程(数智能源特色班)、材料化学(新材料特色班)、生物技术(生物智造特色班))(本专业大类内专业任选)(以下专业除注明外在八里台校区、津南校区学习)","工科试验班类","医工交叉","blue","待拆解"
"南开大学","南开大学04","14","理科试验班(物理与光电信息技术工程)(物理学、应用物理学、光电信息科学与工程、电子信息科学与技术、微电子科学与工程、电子科学与技术、通信工程)(本专业大类内专业任选)(以下专业除注明外在八里台校区、津南校区学习)","理科试验班类","光电","blue","待拆解"
"天津大学","天津大学04","09","工科试验班(国家试点学院精仪与光电信息类)(测控技术与仪器、电子科学与技术(光电子技术)、光电信息科学与工程、智能感知工程)(大类分流专业任选)(含精仪王守融班)(以下专业在北洋园校区学习)","工科试验班类","光电","blue","待拆解"
"中国民航大学","中国民航大学04","11","应用气象学(航空气象)(以下专业除注明外在东丽校区学习)","大气科学类","航空航天","orange","中危刺客"
"中国民航大学","中国民航大学04","18","工科试验班(低空技术与无人机系统类)(无人驾驶航空器系统工程、低空技术与工程)(宁河校区)(以下专业除注明外在东丽校区学习)","工科试验班类","航空航天","blue","待拆解"
"天津工业大学","天津工业大学04","14","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","生物医学工程类","医工交叉","orange","中危刺客"
"天津工业大学","天津工业大学04","15","数学类(数学与应用数学、信息与计算科学、应用统计学)","数学类","统计","yellow","边缘专业"
"天津工业大学","天津工业大学04","16","光电信息科学与工程","电子信息类","光电","yellow","边缘专业"
"天津工业大学","天津工业大学06","37","智能医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","orange","中危刺客"
"河北地质大学","河北地质大学03","16","数学类(数学与应用数学、信息与计算科学、应用统计学)","数学类","统计","yellow","边缘专业"
"河北工业大学","河北工业大学05","20","智能医学工程","交叉学科类","医工交叉","orange","中危刺客"
"华北电力大学(保定)","华北电力大学(保定)06","25","机械工程(输电线路工程)","机械类","机械","yellow","边缘专业"
"燕山大学","燕山大学02","22","智能医学工程","交叉学科类","医工交叉","yellow","边缘专业"
"衡水学院","衡水学院08","08","机械电子工程","机械类","机械","orange","中危刺客"
"山西农业大学","山西农业大学04","26","车辆工程","机械类","机械","yellow","边缘专业"
"内蒙古大学","内蒙古大学04","08","机械工程(玉泉校区)(以下专业除注明外在赛罕校区学习)","机械类","机械","yellow","边缘专业"
"东北大学","东北大学05","28","生物医学工程(该专业部分课程采用英文教材和英语授课)(以下专业在校本部学习)","生物医学工程类","医工交叉","orange","中危刺客"
"大连理工大学(盘锦校区)","大连理工大学(盘锦校区)04","13","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)(与澳大利亚昆士兰科技大学合作,部分课程采用英语授课)(中外合作办学)","生物医学工程类","医工交叉","red","高危刺客"
"吉林工商学院","吉林工商学院03","14","机械电子工程(以下专业在校本部学习)","机械类","机械","yellow","边缘专业"
"哈尔滨工程大学","哈尔滨工程大学05","13","航空航天类(含低空技术与工程、飞行器设计与工程、飞行器动力工程等专业)(本专业类内任选专业)(以下专业在校本部学习)","航空航天类","航空航天","yellow","边缘专业"
"哈尔滨职业技术大学","哈尔滨职业技术大学01","01","无人机系统应用技术(以下专业在校本部学习)","航空装备类","航空航天","yellow","边缘专业"
"华北水利水电大学","华北水利水电大学01","13","统计学(第一学年在江淮校区学习,第二学年起在龙子湖校区学习)(以下专业除注明外在龙子湖校区学习)","统计学类","统计","yellow","边缘专业"
"郑州轻工业大学","郑州轻工业大学02","12","智能车辆工程(东风校区)(以下专业除注明外在科学校区学习)","机械类","机械","yellow","边缘专业"
"郑州轻工业大学","郑州轻工业大学02","14","微机电系统工程(东风校区)(以下专业除注明外在科学校区学习)","机械类","机械","yellow","边缘专业"
"河南工程学院","河南工程学院04","15","材料成型及控制工程(龙湖校区)(以下专业除注明外在桐柏路校区学习)","机械类","机械","gray","整体偏冷"
"河南科技大学","河南科技大学06","13","材料成型及控制工程(以下专业在开元校区学习)(中外合作办学)","机械类","机械","yellow","边缘专业"
"河南科技大学","河南科技大学06","16","生物医学工程(以下专业在开元校区学习)(中外合作办学)","生物医学工程类","医工交叉","yellow","边缘专业"
"新乡学院","新乡学院04","08","应用统计学","统计学类","统计","yellow","边缘专业"
"许昌学院","许昌学院03","09","机械电子工程(以下专业在校本部学习)","机械类","机械","orange","中危刺客"
"武汉大学","武汉大学11","53","口腔医学(5+3一体化)(报考该专业有色觉要求,具体请查阅院校招生章程)","口腔医学类","医学","yellow","边缘专业"
"武汉大学","武汉大学11","54","临床医学(泰康自强班)(培养模式详询院校)(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"武汉大学","武汉大学11","55","临床医学(5+3一体化)(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"华中科技大学","华中科技大学06","27","生物医学工程(医工交叉启明实验班)","生物医学工程类","医工交叉","orange","中危刺客"
"华中科技大学","华中科技大学06","30","生物医学工程类(生物医学工程、生物信息学)","生物医学工程类","医工交叉","orange","中危刺客"
"华中农业大学","华中农业大学04","31","光电信息科学与工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","电子信息类","光电","yellow","边缘专业"
"中南民族大学","中南民族大学07","27","医学信息工程","电子信息类","医工交叉","yellow","边缘专业"
"中南民族大学","中南民族大学07","28","智能医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","yellow","边缘专业"
"湖北中医药大学","湖北中医药大学08","44","智能医学工程(以下专业在黄家湖校区学习)","交叉学科类","医工交叉","yellow","边缘专业"
"湖北中医药大学","湖北中医药大学08","45","医学信息工程(以下专业在黄家湖校区学习)","电子信息类","医工交叉","yellow","边缘专业"
"武汉纺织大学","武汉纺织大学02","09","生物医学工程(以下专业在阳光校区学习)","生物医学工程类","医工交叉","orange","中危刺客"
"武汉轻工大学","武汉轻工大学04","10","机械类(以下专业在常青校区学习)","机械类","机械","yellow","边缘专业"
"长江大学","长江大学03","19","光电信息科学与工程(以下专业除注明外在荆州校区学习)","电子信息类","光电","yellow","边缘专业"
"长江大学","长江大学03","26","临床医学(以下专业除注明外在荆州校区学习)","临床医学类","医学","yellow","边缘专业"
"三峡大学","三峡大学03","10","材料成型及控制工程","机械类","机械","yellow","边缘专业"
"湖北理工学院","湖北理工学院03","15","临床医学(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"湖北民族大学","湖北民族大学02","04","临床医学","临床医学类","医学","yellow","边缘专业"
"湖北科技学院","湖北科技学院02","12","光电信息科学与工程","电子信息类","光电","yellow","边缘专业"
"湖南大学","湖南大学07","26","生物技术(含生物技术、生物医学工程,本专业类内分流任选;入校后可选拔进入生物技术+计算机科学与技术(双学士学位)专业、理科试验班)","生物科学类","医工交叉","yellow","边缘专业"
"中南大学","中南大学07","29","工科试验班(生物医药类智慧创新班)(生物信息学、药学、生物医学工程)(“急需人才培养周期缩短路径”改革试点,大类内专业任选;录取有体检要求,具体参见学校章程)","工科试验班类","医工交叉","blue","待拆解"
"湖南工程学院","湖南工程学院05","24","机械电子工程(中外合作办学)","机械类","机械","orange","中危刺客"
"南华大学","南华大学03","40","临床医学(以下专业除注明外在红湘校区学习)","临床医学类","医学","yellow","边缘专业"
"南华大学","南华大学03","41","儿科学(以下专业除注明外在红湘校区学习)","临床医学类","医学","yellow","边缘专业"
"中山大学","中山大学07","24","康复治疗学(康复治疗学+生物医学工程双学士学位)(广州校区北校园)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在珠海校区学习)","医学技术类","医工交叉","orange","中危刺客"
"中山大学","中山大学07","28","生物医学工程(振声创新班)(深圳校区)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在珠海校区学习)","生物医学工程类","医工交叉","orange","中危刺客"
"华南理工大学","华南理工大学02","05","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业只招收该校测试合格的考生)","生物医学工程类","医工交叉","red","高危刺客"
"华南理工大学","华南理工大学04","17","工科试验班(智能装备与先进制造)(机械工程、机械电子工程、智能车辆工程、工业设计)","工科试验班类","机械","blue","待拆解"
"华南理工大学","华南理工大学05","24","工科试验班(院士特色班)(机械类、材料类、建筑类、智能建造)","工科试验班类","机械","blue","待拆解"
"深圳大学","深圳大学04","15","临床医学(丽湖校区)(报考该专业有色觉要求,具体请查阅院校招生章程)(学费拟按6960-7656元/年收费,以广东省物价部门批复为准)(以下专业除注明外在粤海校区学习)","临床医学类","医学","yellow","边缘专业"
"深圳技术大学","深圳技术大学02","09","无人驾驶航空器系统工程","航空航天类","航空航天","yellow","边缘专业"
"玉林师范学院","玉林师范学院06","17","机械电子工程(以下专业除注明外在东校区学习)","机械类","机械","yellow","边缘专业"
"广西师范大学","广西师范大学05","13","新能源汽车工程(育才校区)(以下专业除注明外在雁山校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","机械类","机械","yellow","边缘专业"
"广西师范大学","广西师范大学05","14","工业设计(以下专业除注明外在雁山校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","机械类","机械","yellow","边缘专业"
"桂林航天工业学院","桂林航天工业学院02","04","新能源汽车工程","机械类","机械","orange","中危刺客"
"广西科技大学","广西科技大学04","20","机械工程(柳东校区)(全英文授课)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)","机械类","机械","orange","中危刺客"
"梧州学院","梧州学院03","12","材料成型及控制工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","机械类","机械","yellow","边缘专业"
"海南大学","海南大学09","38","生物医学工程(第一、二学年在海甸校区学习,第三学年起在三亚崖州校区学习)(以下专业除注明外在海甸校区学习)","生物医学工程类","医工交叉","orange","中危刺客"
"四川大学","四川大学14","26","数学类(数学与应用数学、信息与计算科学、统计学、数学与应用数学(数学+经济学双学士学位)、数学与应用数学(数学+智能科技双学士学位))(以下专业在江安校区学习)","数学类","统计","yellow","边缘专业"
"四川大学","四川大学14","38","航空航天类(航空航天工程、飞行器控制与信息工程)(以下专业在江安校区学习)","航空航天类","航空航天","yellow","边缘专业"
"四川大学","四川大学14","42","医学试验班(医学基础与法医学)(基础医学、法医学)(以下专业在江安校区学习)","医学试验班类","医学","blue","待拆解"
"西南财经大学","西南财经大学07","41","经济统计学","经济学类","统计","yellow","边缘专业"
"电子科技大学","电子科技大学03","11","航空航天工程(智能无人机拔尖人才实验班)","航空航天类","航空航天","yellow","边缘专业"
"电子科技大学","电子科技大学03","12","飞行器控制与信息工程","航空航天类","航空航天","yellow","边缘专业"
"成都信息工程大学","成都信息工程大学02","07","大气科学(以下专业除注明外在航空港校区学习)","大气科学类","航空航天","orange","中危刺客"
"成都信息工程大学","成都信息工程大学02","11","遥感科学与技术(以下专业除注明外在航空港校区学习)","测绘类","航空航天","orange","中危刺客"
"成都信息工程大学","成都信息工程大学02","12","气象技术与工程(以下专业除注明外在航空港校区学习)","大气科学类","航空航天","orange","中危刺客"
"西华大学","西华大学03","09","航空航天类(飞行器动力工程、无人驾驶航空器系统工程)","航空航天类","航空航天","yellow","边缘专业"
"四川轻化工大学","四川轻化工大学02","07","机械电子工程","机械类","机械","yellow","边缘专业"
"西南科技大学","西南科技大学06","10","智能飞行器技术(青义校区)","航空航天类","航空航天","yellow","边缘专业"
"西南科技大学","西南科技大学07","21","光电信息科学与工程(青义校区)","电子信息类","光电","yellow","边缘专业"
"重庆大学","重庆大学10","14","理科试验班(数理基础)(数学与应用数学、物理学、统计学、应用物理学、信息与计算科学)(科学城校区虎溪校园)(第一学期末分流,按照绩点结合学生意愿在试验班内确定专业)","理科试验班类","统计","blue","待拆解"
"重庆大学","重庆大学10","15","工科试验班(医工交叉与环化健康)(生物医学工程、应用化学、给排水科学与工程、药学、环境工程、化学工程与工艺、环境生态工程)(科学城校区虎溪校园)(第二学期末分流,按照绩点结合学生意愿在试验班内确定专业)","工科试验班类","医工交叉","blue","待拆解"
"重庆工商大学","重庆工商大学05","25","统计学(统计学+会计学双学士学位)(南岸校区)(以下专业除注明外在茶园校区学习)","统计学类","统计","yellow","边缘专业"
"重庆三峡科技大学","重庆三峡科技大学04","13","车辆工程(以下专业在百安校区学习)","机械类","机械","yellow","边缘专业"
"重庆三峡科技大学","重庆三峡科技大学04","15","机械电子工程(以下专业在百安校区学习)","机械类","机械","yellow","边缘专业"
"贵州中医药大学","贵州中医药大学06","09","智能医学工程(花溪校区)(报考该专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","red","高危刺客"
"西北大学","西北大学06","16","应用物理学(智能光电创新实验班)(以下专业除注明外在长安校区学习)","物理学类","光电","yellow","边缘专业"
"西北工业大学","西北工业大学07","36","智能交互设计(长安校区)(中外合作办学)","机械类","机械","orange","中危刺客"
"西安交通大学","西安交通大学08","18","工科试验班(智造重器国卓班)(机械工程)(以下专业在兴庆校区学习)","工科试验班类","机械","blue","待拆解"
"西安交通大学","西安交通大学14","33","工科试验班(医学电子信息优本班)(生物医学工程)(只招收有志愿的学生)(以下专业在兴庆校区学习)","工科试验班类","医工交叉","blue","待拆解"
"西安交通大学","西安交通大学14","45","工科试验班(航天航空领军班)(飞行器设计与工程、飞行器动力工程、工程力学)(专业分流时,100%类内专业任选)(以下专业在兴庆校区学习)","工科试验班类","航空航天","blue","待拆解"
"西安交通大学","西安交通大学14","48","理科试验班(物理领军班)(材料物理、光电信息科学与工程、应用物理学、应用物理学(吴有训英才班);专业分流时,100%类内专业任选)(以下专业在兴庆校区学习)","理科试验班类","光电","blue","待拆解"
"西安电子科技大学","西安电子科技大学01","04","生物医学工程类(电子信息交叉融合培养)(生物医学工程、智能医学工程)(以下专业在长安校区学习)(高校专项计划)","生物医学工程类","医工交叉","orange","中危刺客"
"长安大学","长安大学08","38","工科试验班(智能车辆)(智能车辆工程)(以下专业除注明外在北校区学习)","工科试验班类","机械","blue","待拆解"
"长安大学","长安大学08","39","车辆工程(车辆工程、智能车辆工程、汽车服务工程)(上述三个专业分流任选)(以下专业除注明外在北校区学习)","机械类","机械","yellow","边缘专业"
"长安大学","长安大学10","54","工科试验班(华为班)(道路桥梁与渡河工程、交通工程、交通运输、车辆工程、智能车辆工程、低空技术与工程)(本专业类内分流任选)(以下专业在北校区学习)","工科试验班类","机械","blue","待拆解"
"长安大学","长安大学10","55","工科试验班(未来交通)(道路桥梁与渡河工程、交通工程、交通运输、车辆工程、智能车辆工程、低空技术与工程)(本专业类内分流任选)(以下专业在北校区学习)","工科试验班类","机械","blue","待拆解"
"陇东学院","陇东学院02","05","过程装备与控制工程","机械类","机械","yellow","边缘专业"
"新疆财经大学","新疆财经大学04","44","经济统计学(以下专业在校本部学习)","经济学类","统计","orange","中危刺客"
"石河子大学","石河子大学03","14","无人驾驶航空器系统工程","航空航天类","航空航天","yellow","边缘专业"
"上海师范大学天华学院","上海师范大学天华学院06","17","机械电子工程","机械类","机械","orange","中危刺客"
"浙江万里学院","浙江万里学院06","47","机械电子工程(报考该专业第一学年在钱湖校区学习,第二学年起在余姚校区学习)(以下专业除注明外在钱湖校区学习)","机械类","机械","yellow","边缘专业"
"宁波财经学院","宁波财经学院03","29","机械电子工程(以下专业第一学年在杭州湾校区学习,第二学年起在海曙校区学习)","机械类","机械","orange","中危刺客"
"宁波财经学院","宁波财经学院03","30","工业设计(以下专业第一学年在杭州湾校区学习,第二学年起在海曙校区学习)","机械类","机械","orange","中危刺客"
"浙江农林大学暨阳学院","浙江农林大学暨阳学院03","12","机械电子工程","机械类","机械","orange","中危刺客"
"浙江财经大学东方学院","浙江财经大学东方学院03","15","工业设计","机械类","机械","orange","中危刺客"
"福州外语外贸学院","福州外语外贸学院03","07","无人驾驶航空器系统工程(以下专业第一学年在滨海校区学习,第二学年起在长乐校区学习)","航空航天类","航空航天","yellow","边缘专业"
"泉州信息工程学院","泉州信息工程学院02","06","无人驾驶航空器系统工程","航空航天类","航空航天","yellow","边缘专业"
"江西科技学院","江西科技学院03","23","飞行器运维工程","航空航天类","航空航天","yellow","边缘专业"
"南昌航空大学科技学院","南昌航空大学科技学院03","26","飞行器制造工程(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程并详询院校)","航空航天类","航空航天","yellow","边缘专业"
"南昌航空大学科技学院","南昌航空大学科技学院03","27","无人驾驶航空器系统工程(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程并详询院校)","航空航天类","航空航天","yellow","边缘专业"
"南昌航空大学科技学院","南昌航空大学科技学院03","31","飞行器运维工程(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程并详询院校)","航空航天类","航空航天","yellow","边缘专业"
"南昌航空大学科技学院","南昌航空大学科技学院03","32","飞行器控制与信息工程(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程并详询院校)","航空航天类","航空航天","yellow","边缘专业"
"江西财经大学现代经济管理学院","江西财经大学现代经济管理学院04","34","工业设计","机械类","机械","yellow","边缘专业"
"山东现代学院","山东现代学院04","18","汽车服务工程","机械类","机械","orange","中危刺客"
"烟台理工学院","烟台理工学院02","05","无人驾驶航空器系统工程","航空航天类","航空航天","yellow","边缘专业"
"泰山科技学院","泰山科技学院04","10","智能车辆工程","机械类","机械","orange","中危刺客"
"齐鲁理工学院","齐鲁理工学院03","29","生物医学工程(以下专业在济南校区学习)","生物医学工程类","医工交叉","red","高危刺客"
"北京城市学院","北京城市学院03","15","合成生物学(航天城校区)(以下专业除注明外在顺义校区学习)","生物工程类","航空航天","red","高危刺客"
"北京城市学院","北京城市学院03","16","机械电子工程(以下专业除注明外在顺义校区学习)","机械类","机械","orange","中危刺客"
"大连工程学院","大连工程学院02","29","无人驾驶航空器系统工程","航空航天类","航空航天","yellow","边缘专业"
"长春科技学院","长春科技学院02","03","无人机系统应用技术","航空装备类","航空航天","yellow","边缘专业"
"哈尔滨华德学院","哈尔滨华德学院03","07","新能源汽车工程(报考以下专业须详询院校)","机械类","机械","orange","中危刺客"
"商丘工学院","商丘工学院01","01","车辆工程(长江路校区)","机械类","机械","orange","中危刺客"
"武昌理工学院","武昌理工学院03","15","无人驾驶航空器系统工程","航空航天类","航空航天","yellow","边缘专业"
"武汉晴川学院","武汉晴川学院03","17","机械电子工程","机械类","机械","orange","中危刺客"
"武汉华夏理工学院","武汉华夏理工学院03","16","机械电子工程(以下专业第一学年在梧桐湖校区学习,第二学年起在主校区学习)","机械类","机械","orange","中危刺客"
"武汉华夏理工学院","武汉华夏理工学院03","17","车辆工程(以下专业第一学年在梧桐湖校区学习,第二学年起在主校区学习)","机械类","机械","orange","中危刺客"
"湘潭理工学院","湘潭理工学院03","07","车辆工程","机械类","机械","orange","中危刺客"
"中南林业科技大学涉外学院","中南林业科技大学涉外学院03","06","工业设计","机械类","机械","yellow","边缘专业"
"三亚学院","三亚学院07","24","新能源汽车工程","机械类","机械","orange","中危刺客"
"电子科技大学成都学院","电子科技大学成都学院03","18","飞行器制造工程(什邡校区)(以下专业除注明外在成都校区学习)","航空航天类","航空航天","yellow","边缘专业"
"电子科技大学成都学院","电子科技大学成都学院03","19","飞行器动力工程(什邡校区)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在成都校区学习)","航空航天类","航空航天","yellow","边缘专业"
"电子科技大学成都学院","电子科技大学成都学院03","20","飞行器质量与可靠性(什邡校区)(以下专业除注明外在成都校区学习)","航空航天类","航空航天","yellow","边缘专业"
"西安外事学院","西安外事学院04","22","生物医学工程","生物医学工程类","医工交叉","red","高危刺客"
"西安思源学院","西安思源学院04","10","增材制造工程","机械类","机械","orange","中危刺客"
