reason,subject,school,group,code,name,from_group,plan25,score25,rank25,before_score25,before_rank25
cross_25_exact_name,物理,清华大学,清华大学05,09,电子信息类(电子信息科学与技术),清华大学04,4,686,126,,
cross_25_exact_name,物理,清华大学,清华大学05,10,自动化类[自动化(含信息管理信息系统)],清华大学04,3,686,126,,
cross_25_exact_name,物理,北京大学,北京大学06,31,信息管理与信息系统,北京大学05,1,686,126,,
cross_25_exact_name,物理,北京大学,北京大学06,29,地球物理学类[地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术],北京大学05,2,686,126,,
cross_25_exact_name,物理,北京大学,北京大学06,32,文物保护技术(古建),北京大学05,1,686,126,,
cross_25_exact_name,物理,北京大学,北京大学06,30,环境科学(环境、健康、生态、地理与资源环境),北京大学05,2,686,126,,
cross_25_unique_signature,物理,上海交通大学,上海交通大学06,24,金融学(上海交大港中文Fintech双学士学位项目)[含金融学+金融科技(上海交大-港中文)双学士学位],上海交通大学03,3,673,506,,
cross_25_exact_name,历史,北京大学,北京大学03,08,中国语言文学类(汉语言文学、汉语言、古典文献学、应用语言学),北京大学03,2,679,109,,
cross_25_exact_name,历史,北京大学,北京大学03,09,哲学类(哲学、宗教学),北京大学03,2,668,109,,
cross_25_unique_signature,物理,南京大学,南京大学09,29,工科试验班(未来技术学院)(智能科学与技术、集成电路设计与集成系统、自动化(机器人方向)、碳中和科学与工程、生物医学工程)(鼓楼校区和苏州校区)(该类内分流时专业任选),南京大学07,49,661,1835,,
cross_25_exact_name,物理,南京大学,南京大学09,28,理科试验班(匡亚明学院励行班)(计算机科学与技术、数学与应用数学、物理学、化学等35个理工科专业)(鼓楼校区和仙林校区)(该类内分流时专业任选),南京大学07,32,671,649,,
cross_25_exact_name,物理,南京大学,南京大学12,49,工科试验班(智慧人居实验班)(建筑学、城乡规划)[该专业(类)入学后可转专业],南京大学07,49,661,1835,,
cross_25_exact_name,物理,北京电子科技学院,北京电子科技学院02,02,密码科学与技术(密码人才创新实验班)(只招英语考生)(录取前需政审、面试),北京电子科技学院02,2,659,2209,,
cross_25_exact_name,物理,哈尔滨工业大学(深圳),哈尔滨工业大学(深圳)03,06,工科试验班(自主智能)(人工智能、机器人工程、自动化)(深圳市)(本专业类内任选专业),哈尔滨工业大学(深圳)02,28,658,2414,,
cross_25_exact_name,物理,哈尔滨工业大学(深圳),哈尔滨工业大学(深圳)02,03,"工科试验班(未来城市卓越联培班)(土木工程、环境工程、化学等专业)(第一学年在校本部学习,第二学年起在深圳校区学习)(本专业类内任选专业)",哈尔滨工业大学(深圳)02,28,658,2414,,
cross_25_exact_name,物理,哈尔滨工业大学(深圳),哈尔滨工业大学(深圳)02,02,"工科试验班(未来能源卓越联培班)(材料科学与工程、能源与动力工程、工程力学)(第一学年在校本部学习,第二学年起在深圳校区学习)(本专业类内任选专业)",哈尔滨工业大学(深圳)02,28,658,2414,,
cross_25_exact_name,物理,浙江大学医学院,浙江大学医学院02,05,临床医学,浙江大学医学院01,7,659,2209,,
cross_25_exact_name,物理,西安交通大学,西安交通大学11,25,临床医学(兴庆校区),西安交通大学04,2,645,5985,,
cross_25_exact_name,物理,电子科技大学,电子科技大学03,07,工科试验班(机器人、电气信息、智能制造)(机械设计制造及其自动化、电气工程及其自动化、工业工程、机器人工程、智能电网信息工程),电子科技大学02,10,651,4082,,
cross_25_unique_signature,历史,复旦大学,复旦大学03,05,历史学类(历史学+旅游管理双学士学位),复旦大学03,2,657,125,,
cross_25_unique_signature,历史,复旦大学,复旦大学03,06,哲学类[哲学(含国学方向、科学哲学与逻辑学方向、艺术哲学方向)、宗教学](含哲学博雅班;含哲学+人工智能双学士学位),复旦大学03,2,657,125,,
cross_25_unique_signature,历史,复旦大学,复旦大学03,04,英语(英语、翻译)(含英语-数据语言学博雅班;含英语/翻译+计算机科学与技术双学士学位),复旦大学03,2,662,109,,
cross_25_exact_name,物理,国防科技大学,国防科技大学06,18,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),国防科技大学05,3,647,5310,,
cross_25_exact_name,物理,国防科技大学,国防科技大学06,44,导弹工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),国防科技大学05,1,653,3556,,
cross_25_exact_name,物理,国防科技大学,国防科技大学06,33,导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),国防科技大学05,1,653,3556,,
cross_25_exact_name,物理,国防科技大学,国防科技大学06,42,指挥信息系统工程(指挥信息保障初级技术军官)(只招男生)(体检标准:通用标准合格),国防科技大学08,1,645,5985,,
cross_25_exact_name,物理,国防科技大学,国防科技大学06,36,无人系统指挥与控制(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),国防科技大学05,1,653,3556,,
cross_25_exact_name,物理,国防科技大学,国防科技大学06,27,海洋信息工程(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),国防科技大学05,1,649,4675,,
cross_25_exact_name,物理,国防科技大学,国防科技大学08,54,电子科学与技术(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),国防科技大学08,1,651,4082,,
cross_25_exact_name,物理,国防科技大学,国防科技大学07,48,光电信息科学与工程(光电对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),国防科技大学05,1,669,830,,
cross_25_exact_name,物理,国防科技大学,国防科技大学05,14,管理科学(指挥勤务保障初级技术军官)(只招女生)(体检标准:通用标准合格),国防科技大学04,1,646,5633,,
cross_25_exact_name,物理,国防科技大学,国防科技大学09,56,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),国防科技大学05,3,647,5310,,
cross_25_exact_name,物理,国防科技大学,国防科技大学09,57,物联网工程(新兴高技术初级技术军官)(只招女生)(体检标准:通用标准合格),国防科技大学05,1,648,4973,,
cross_25_exact_name,物理,香港中文大学(深圳),香港中文大学(深圳)04,06,理科试验班[人工智能、大数据管理与应用、电子与计算机工程、数据科学与大数据技术、临床医学(学制六年)、金融工程、数学与应用数学、物理学等25个专业](该专业只招收该校测试合格的考生),香港中文大学(深圳)05,8,646,5633,,
cross_25_exact_name,物理,中国人民公安大学,中国人民公安大学06,22,交通管理工程(只招女生)(面向地方公安机关入警就业),中国人民公安大学05,8,645,5985,,
cross_25_exact_name,物理,中国人民公安大学,中国人民公安大学10,39,犯罪学(只招女生)(面向地方公安机关入警就业),中国人民公安大学08,2,631,12320,,
cross_25_exact_name,历史,同济大学,同济大学02,03,广播电视编导,同济大学01,3,630,1250,,
cross_25_exact_name,物理,南京大学,南京大学07,23,工科试验班(光电信息科学与工程、碳中和科学与工程、生物医学工程、工业工程类、材料类)(鼓楼校区和仙林校区)(其中碳中和科学与工程、生物医学工程在鼓楼校区和苏州校区),南京大学07,49,661,1835,,
cross_25_exact_name,物理,南京大学,南京大学07,26,技术科学试验班[智能科学与技术、集成电路设计与集成系统、自动化(机器人方向)、数字经济](鼓楼校区和苏州校区),南京大学07,174,662,1663,,
cross_25_exact_name,物理,四川大学,四川大学14,45,高分子材料与工程(先进高分子材料工程创新班),四川大学05,6,641,7529,,
cross_25_exact_name,物理,厦门大学,厦门大学07,23,"工科试验班(南强书院卓越领航班)(全校专业任选,实施“一生一方案”一体化培养计划,报考该专业请详询院校)",厦门大学06,5,641,7529,,
cross_25_exact_name,物理,厦门大学,厦门大学07,27,"工科试验班(集成电路与电子信息)(电子信息工程、集成电路设计与集成系统、微电子科学与工程、电子信息科学与技术、通信工程)(分流时本专业类内专业任选,报考该专业须查阅院校招生章程)",厦门大学06,5,641,7529,,
cross_25_exact_name,物理,厦门大学,厦门大学08,35,"工科试验班(AI与计算机)(计算机科学与技术、网络空间安全、人工智能、软件工程)(分流时本专业类内专业任选。入校后可选拔进入人工智能省级拔尖学生培养基地、计算机科学与技术拔尖学生培养基地,报考该专业须查阅院校招生章程)(翔安校区)",厦门大学06,5,641,7529,,
cross_25_exact_name,物理,南京理工大学,南京理工大学04,46,机械类(智能仪器方向)(测控技术与仪器),南京理工大学03,2,642,7121,,
cross_25_exact_name,物理,南京理工大学,南京理工大学05,49,机械工程(中外合作办学),南京理工大学05,35,619,19674,,
cross_25_exact_name,物理,南京理工大学,南京理工大学05,50,材料科学与工程(中外合作办学),南京理工大学05,35,616,21735,,
cross_25_exact_name,物理,中南大学,中南大学11,36,口腔医学(五年制),中南大学05,2,640,7928,,
cross_25_exact_name,物理,中南大学,中南大学07,28,"工科试验班(AI类智慧创新班)(人工智能、机械设计制造及其自动化、土木工程、采矿工程)(“急需人才培养周期缩短路径”改革试点,大类内专业任选)",中南大学02,13,637,9279,,
cross_25_exact_name,物理,中南大学,中南大学07,27,"工科试验班(新材料类大飞机智慧创新班)(粉体材料科学与工程、机械设计制造及其自动化)(“急需人才培养周期缩短路径”改革试点,大类内专业任选)",中南大学02,13,637,9279,,
cross_25_exact_name,物理,中南大学,中南大学07,29,"工科试验班(生物医药类智慧创新班)(生物信息学、药学、生物医学工程)(“急需人才培养周期缩短路径”改革试点,大类内专业任选;录取有体检要求,具体参见学校章程)",中南大学02,13,637,9279,,
cross_25_exact_name,物理,南京航空航天大学,南京航空航天大学06,58,人工智能(拔尖创新班),南京航空航天大学06,16,646,5633,,
cross_25_exact_name,物理,南京航空航天大学,南京航空航天大学06,55,能源与动力工程(拔尖创新班)(南京市将军路校区),南京航空航天大学06,2,645,5985,,
cross_25_exact_name,物理,南京航空航天大学,南京航空航天大学06,57,飞行器适航技术(拔尖创新班),南京航空航天大学06,2,645,5985,,
cross_25_unique_signature,物理,南京航空航天大学,南京航空航天大学07,97,应用物理学(应用物理学+机器人工程双学士学位复合型人才培养项目),南京航空航天大学06,2,645,5985,,
cross_25_exact_name,物理,南京航空航天大学,南京航空航天大学07,71,机器人工程(南京市将军路校区),南京航空航天大学06,2,645,5985,,
cross_25_exact_name,物理,北京科技大学,北京科技大学08,18,"工科试验班类(关键金属提取数智创新班)(冶金工程)(特殊班型,特殊培养政策详见学校本科招生网)",北京科技大学04,8,638,8837,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学03,22,测绘工程(测绘技术、时空信息保障初级技术军官)(只招男生)(体检标准:测绘岗位合格),网络空间部队信息工程大学06,1,635,10262,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学02,17,密码学(密码技术研发初级指挥军官)(只招男生)(体检标准:通用标准合格),网络空间部队信息工程大学03,1,631,12320,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学02,05,水声工程(水下信息感知处理初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),网络空间部队信息工程大学04,2,620,19004,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学02,20,认知安全与技术(网络认知安全初级技术军官)(只招男生)(体检标准:通用标准合格),网络空间部队信息工程大学03,2,631,12320,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学02,04,通信工程(无线感知处理、通信装备设计初级技术军官)(只招男生)(体检标准:通用标准合格),网络空间部队信息工程大学04,1,630,12829,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学04,29,人工智能(智能信息处理、智能装备研发初级技术军官)(只招女生)(体检标准:通用标准合格),网络空间部队信息工程大学03,1,644,6362,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学04,32,信息对抗技术(网络防御初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),网络空间部队信息工程大学03,2,635,10262,,
cross_25_exact_name,物理,网络空间部队信息工程大学,网络空间部队信息工程大学04,27,电子信息工程(电子信息处理与分析初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),网络空间部队信息工程大学03,1,635,10262,,
cross_25_exact_name,物理,信息支援部队工程大学,信息支援部队工程大学01,06,指挥信息系统工程(指挥信息系统建设、运用初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),信息支援部队工程大学01,3,634,10750,,
cross_25_exact_name,物理,信息支援部队工程大学,信息支援部队工程大学01,05,数据科学与大数据技术(数据信息技术与应用初级技术军官)(只招男生)(体检标准:通用标准合格),信息支援部队工程大学02,3,631,12320,,
cross_25_exact_name,物理,信息支援部队工程大学,信息支援部队工程大学01,07,数据链工程(数据链设计、开发与组织管理初级技术军官)(只招男生)(体检标准:通用标准合格),信息支援部队工程大学04,1,650,4363,,
cross_25_exact_name,物理,信息支援部队工程大学,信息支援部队工程大学01,01,智能视觉工程(智能视觉系统构建与管理初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),信息支援部队工程大学01,1,635,10262,,
cross_25_exact_name,物理,信息支援部队工程大学,信息支援部队工程大学03,13,电磁频谱工程(电磁频谱管理初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),信息支援部队工程大学02,2,632,11769,,
cross_25_exact_name,物理,吉林大学,吉林大学17,54,仿生科学与工程(仿生智能机器人特色班),吉林大学07,6,626,15099,,
cross_25_exact_name,物理,中国刑事警察学院,中国刑事警察学院07,15,禁毒学(只招男生)(面向地方公安机关入警就业),中国刑事警察学院08,1,614,23214,,
cross_25_exact_name,物理,中国刑事警察学院,中国刑事警察学院08,19,公安情报学(只招女生)(面向地方公安机关入警就业),中国刑事警察学院07,1,624,16379,,
cross_25_exact_name,物理,兰州大学,兰州大学15,51,大气科学,兰州大学04,4,632,11769,,
cross_25_exact_name,物理,兰州大学,兰州大学16,53,核工程与核技术(核聚变科学与工程方向),兰州大学04,2,637,9279,,
cross_25_exact_name,物理,兰州大学,兰州大学16,55,辐射防护与核安全(核医学物理与技术创新班),兰州大学04,3,634,10750,,
cross_25_exact_name,物理,兰州大学,兰州大学17,58,生物科学(生物医药创新班),兰州大学04,4,632,11769,,
cross_25_exact_name,物理,兰州大学,兰州大学10,23,"数学与应用数学(萃英班)(一年级末组织资格审查,不符合条件的转入普通班学习,具体条件详见学校本科招生网)",兰州大学04,2,639,8362,,
cross_25_exact_name,物理,兰州大学,兰州大学10,24,"物理学(萃英班)(一年级末组织资格审查,不符合条件的转入普通班学习,具体条件详见学校本科招生网)",兰州大学04,2,637,9279,,
cross_25_exact_name,物理,兰州大学,兰州大学11,26,"生物科学(萃英班)(一年级末组织资格审查,不符合条件的转入普通班学习,具体条件详见学校本科招生网)",兰州大学04,4,632,11769,,
cross_25_exact_name,历史,南开大学,南开大学02,02,工商管理类(财务管理、工商管理、市场营销、人力资源管理、会计学、旅游管理、会展经济与管理、体育旅游)(本专业大类内专业任选),南开大学02,4,636,828,,
cross_25_exact_name,物理,华北电力大学(保定),华北电力大学(保定)06,25,机械工程(输电线路工程),华北电力大学(保定)03,8,629,13359,,
cross_25_exact_name,物理,华北电力大学(保定),华北电力大学(保定)04,12,电气工程及其自动化(创新班),华北电力大学(保定)03,17,639,8362,,
cross_25_exact_name,历史,香港中文大学(深圳),香港中文大学(深圳)01,01,人文科学试验班(应用心理学、城市管理)(该专业只招收该校测试合格的考生)(大一结束时学生可在人文社科学院的所有专业内选定主修专业),香港中文大学(深圳)02,2,631,1171,,
cross_25_exact_name,历史,香港中文大学(深圳),香港中文大学(深圳)01,02,经济管理试验班(经济学、金融学、市场营销、会计学、国际商务)(该专业只招收该校测试合格的考生)(大一结束时学生可在经管学院的所有专业内选定主修专业),香港中文大学(深圳)02,3,631,1171,,
cross_25_exact_name,物理,河海大学,河海大学07,55,机械工程(产教融合卓越班)(第二学年起在常州校区学习),河海大学07,30,629,13359,,
cross_25_exact_name,物理,河海大学,河海大学07,58,材料科学与工程(产教融合卓越班)(第二学年起在常州校区学习),河海大学07,15,631,12320,,
cross_25_exact_name,物理,河海大学,河海大学07,56,物联网工程(产教融合卓越班)(第二学年起在常州校区学习),河海大学07,95,628,13915,,
cross_25_exact_name,物理,河海大学,河海大学07,57,自动化(产教融合卓越班)(第二学年起在常州校区学习),河海大学07,90,629,13359,,
cross_25_exact_name,物理,华东理工大学,华东理工大学03,44,高分子材料与工程(中外合作办学)(中奥合作创新班)(只录取有专业志愿的考生),华东理工大学03,5,631,12320,,
cross_25_exact_name,历史,中央财经大学,中央财经大学02,10,经济学类(澄明书院)[经济学(数理经济与数理金融)、金融学(国际金融与公司理财)、财政学(财政理论与政策)],中央财经大学01,2,632,1111,,
cross_25_exact_name,物理,华北电力大学(北京),华北电力大学(北京)04,16,电气工程及其自动化(领军人才班),华北电力大学(北京)03,13,637,9279,,
cross_25_exact_name,物理,海军潜艇学院,海军潜艇学院03,06,无人系统指挥与控制(水下无人初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),海军潜艇学院03,3,618,20349,,
cross_25_exact_name,物理,海军潜艇学院,海军潜艇学院01,04,水下特种工程(水下特种工程初级指挥军官)(只招男生)(体检标准:潜艇岗位合格),海军潜艇学院02,3,594,40639,,
cross_25_exact_name,物理,海军潜艇学院,海军潜艇学院02,05,船舶与海洋工程(潜水初级指挥军官)(只招男生)(体检标准:潜水岗位合格),海军潜艇学院02,3,595,39620,,
cross_25_exact_name,物理,海军工程大学,海军工程大学05,25,通信工程(岸海通信、数据链初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),海军工程大学04,1,630,12829,,
cross_25_exact_name,物理,海军工程大学,海军工程大学01,04,数据科学与大数据技术(信息与数据保障初级技术军官)(只招男生)(体检标准:通用标准合格),海军工程大学06,1,654,3281,,
cross_25_exact_name,物理,海军工程大学,海军工程大学01,09,装备经济管理(装备经济管理初级技术军官)(只招男生)(体检标准:通用标准合格),海军工程大学06,1,632,11769,,
cross_25_exact_name,物理,海军工程大学,海军工程大学02,19,军港勤务工程(舰艇军需保障初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),海军工程大学01,2,621,18319,,
cross_25_exact_name,物理,海军工程大学,海军工程大学02,13,能源与动力工程(舰艇机电初级指挥与技术军官)(只招男生)(体检标准:舰艇岗位合格),海军工程大学02,2,620,19004,,
cross_25_exact_name,物理,首都医科大学,首都医科大学02,08,口腔医学,首都医科大学01,1,637,9279,,
cross_25_exact_name,历史,对外经济贸易大学,对外经济贸易大学02,05,外国语言文学类[商务英语(含与金融学、法学、会计学双学士学位项目)、翻译(含与金融学、法学、会计学双学士学位项目)、英语(含与金融学、法学、会计学双学士学位项目)](只招英语考生),对外经济贸易大学02,2,630,1250,,
cross_25_exact_name,物理,哈尔滨工程大学,哈尔滨工程大学16,32,水声工程(钱学森班)(校本部),哈尔滨工程大学04,3,637,9279,,
cross_25_exact_name,物理,海军军医大学,海军军医大学03,13,护理学(护师)(只招女生)(体检标准:医疗卫生岗位合格),海军军医大学06,1,603,32190,,
cross_25_exact_name,物理,海军军医大学,海军军医大学01,01,公共事业管理(医疗卫勤分队指挥军官)(只招男生)(体检标准:医疗卫生岗位合格),海军军医大学01,1,619,19674,,
cross_25_exact_name,历史,吉林大学,吉林大学02,02,社会学类(社会学、社会工作)(前卫南区),吉林大学02,6,617,2644,,
cross_25_exact_name,物理,天津医科大学,天津医科大学03,06,口腔医学,天津医科大学03,2,634,10750,,
cross_25_exact_name,物理,空军工程大学,空军工程大学04,27,大数据管理与应用(全域数据管理运维初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),空军工程大学02,1,623,17028,,
cross_25_exact_name,物理,空军工程大学,空军工程大学04,25,数据链工程(数据链初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),空军工程大学02,2,626,15099,,
cross_25_exact_name,物理,空军工程大学,空军工程大学04,26,电磁频谱工程(电磁频谱初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),空军工程大学02,1,623,17028,,
cross_25_exact_name,物理,空军工程大学,空军工程大学03,12,军事运输投送(航空运输投送初级指挥军官)(只招男生)(体检标准:通用标准合格),空军工程大学05,3,590,44618,,
cross_25_exact_name,物理,空军工程大学,空军工程大学03,06,智能装备与系统(无人智能算法运维初级技术军官)(只招男生)(体检标准:通用标准合格),空军工程大学03,1,625,15713,,
cross_25_exact_name,物理,中国矿业大学,中国矿业大学05,39,机器人工程(孙越崎特色班),中国矿业大学04,16,622,17706,,
cross_25_exact_name,物理,中国矿业大学,中国矿业大学05,42,电气工程及其自动化(孙越崎特色班),中国矿业大学04,67,631,12320,,
cross_25_exact_name,历史,山东大学,山东大学03,03,社会学类(社会学、社会工作、人类学),山东大学02,2,627,1489,,
cross_25_exact_name,物理,南京邮电大学,南京邮电大学07,32,集成电路设计与集成系统(EDA菁英班),南京邮电大学07,129,614,23214,,
cross_25_exact_name,物理,南京邮电大学,南京邮电大学08,45,物联网工程(鸿蒙菁英班),南京邮电大学07,79,610,26330,,
cross_25_exact_name,物理,南京邮电大学,南京邮电大学09,51,自动化(拔尖创新班),南京邮电大学07,116,612,24769,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学01,11,伪装与防护工程(伪装分队指挥军官)(只招男生)(体检标准:通用标准合格),陆军工程大学02,1,617,21043,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学01,05,侦察情报[侦察兵分队指挥军官(特种作战侦察)](只招男生)(体检标准:通用标准合格),陆军工程大学02,1,613,23947,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学01,06,军事设施工程(工程建筑、维护分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),陆军工程大学02,1,618,20349,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学01,03,无人系统指挥与控制(无人机运用与指挥初级指挥军官)(只招男生)(体检标准:通用标准合格),陆军工程大学02,2,620,19004,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学01,04,无人系统指挥与控制(无人破障初级指挥军官)(只招男生)(体检标准:通用标准合格),陆军工程大学02,2,620,19004,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学05,28,数据科学与大数据技术(数据科学与大数据技术初级技术军官)(只招男生)(体检标准:通信导航岗位合格),陆军工程大学06,2,622,17706,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学06,30,航海技术(卸载转运初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),陆军工程大学08,2,607,28841,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学06,32,轮机工程(船艇机电部门初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),陆军工程大学08,1,611,25515,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学03,15,指挥信息系统工程(指挥信息系统工程初级技术军官)(只招男生)(体检标准:通信导航岗位合格),陆军工程大学03,1,628,13915,,
cross_25_exact_name,物理,陆军工程大学,陆军工程大学08,37,新能源科学与工程(电能保障、能源安全防护初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),陆军工程大学05,2,618,20349,,
cross_25_exact_name,历史,中国海洋大学,中国海洋大学02,02,英语(崂山校区),中国海洋大学02,1,616,2784,,
cross_25_exact_name,历史,中国传媒大学,中国传媒大学04,08,广播电视编导(视听编辑),中国传媒大学05,2,618,2510,,
cross_25_exact_name,物理,联勤保障部队工程大学,联勤保障部队工程大学03,13,智能运输工程(无人运输投送分队指挥军官)(只招男生)(体检标准:通用标准合格),联勤保障部队工程大学04,1,611,25515,,
cross_25_exact_name,物理,联勤保障部队工程大学,联勤保障部队工程大学01,02,军需勤务(军需保障初级指挥军官)(只招男生)(体检标准:通用标准合格),联勤保障部队工程大学01,1,608,27965,,
cross_25_exact_name,物理,联勤保障部队工程大学,联勤保障部队工程大学05,17,军事能源工程(油料保障初级指挥与技术军官)(只招女生)(体检标准:油料岗位合格),联勤保障部队工程大学03,1,607,28841,,
cross_25_exact_name,物理,首都师范大学,首都师范大学02,08,电子信息工程(智能感知与具身系统),首都师范大学02,2,607,28841,,
cross_25_exact_name,物理,武汉理工大学,武汉理工大学05,11,土木类(土木工程、建筑环境与能源应用工程、给排水科学与工程、工程管理),武汉理工大学06,22,617,21043,,
cross_25_exact_name,物理,南京师范大学,南京师范大学25,85,财务管理,南京师范大学14,3,601,33985,,
cross_25_exact_name,物理,南京农业大学,南京农业大学08,39,农业智能装备工程(金善宝实验班),南京农业大学04,2,613,23947,,
cross_25_exact_name,物理,南京农业大学,南京农业大学08,34,生物育种科学(金善宝实验班),南京农业大学05,15,607,28841,,
